Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
England;lost;13;43;-30;1;1;2;0;v Ireland;Croke Park;24 Feb 2007
Ireland;won;43;13;+30;4;4;5;0;v England;Croke Park;24 Feb 2007
France;won;32;21;+11;2;2;6;0;v Wales;Stade de France;24 Feb 2007
Wales;lost;21;32;-11;3;3;0;0;v France;Stade de France;24 Feb 2007
Ireland;won;19;18;+1;1;1;4;0;v Scotland;Murrayfield;10 Mar 2007
Scotland;lost;18;19;-1;0;0;6;0;v Ireland;Murrayfield;10 Mar 2007
Italy;won;23;20;+3;2;2;3;0;v Wales;Rome;10 Mar 2007
Wales;lost;20;23;-3;2;2;2;0;v Italy;Rome;10 Mar 2007
England;won;26;18;+8;2;2;4;0;v France;Twickenham;11 Mar 2007
France;lost;18;26;-8;0;0;6;0;v England;Twickenham;11 Mar 2007
Ireland;won;51;24;+27;8;4;1;0;v Italy;Rome;17 Mar 2007
Italy;lost;24;51;-27;2;1;2;2;v Ireland;Rome;17 Mar 2007
France;won;46;19;+27;6;5;2;0;v Scotland;Stade de France;17 Mar 2007
Scotland;lost;19;46;-27;3;2;0;0;v France;Stade de France;17 Mar 2007
England;lost;18;27;-9;2;1;1;1;v Wales;Millennium Stadium;17 Mar 2007
Wales;won;27;18;+9;2;1;4;1;v England;Millennium Stadium;17 Mar 2007
Ireland;won;16;11;+5;1;1;3;0;v Italy;Croke Park;2 Feb 2008
Italy;lost;11;16;-5;1;0;2;0;v Ireland;Croke Park;2 Feb 2008
England;lost;19;26;-7;1;1;3;1;v Wales;Twickenham;2 Feb 2008
Wales;won;26;19;+7;2;2;4;0;v England;Twickenham;2 Feb 2008
France;won;27;6;+21;3;3;2;0;v Scotland;Murrayfield;3 Feb 2008
Scotland;lost;6;27;-21;0;0;1;1;v France;Murrayfield;3 Feb 2008
Scotland;lost;15;30;-15;0;0;5;0;v Wales;Millennium Stadium;9 Feb 2008
Wales;won;30;15;+15;3;3;3;0;v Scotland;Millennium Stadium;9 Feb 2008
France;won;26;21;+5;4;3;0;0;v Ireland;Stade de France;9 Feb 2008
Ireland;lost;21;26;-5;2;1;3;0;v France;Stade de France;9 Feb 2008
England;won;23;19;+4;2;2;3;0;v Italy;Rome;10 Feb 2008
Italy;lost;19;23;-4;1;1;4;0;v England;Rome;10 Feb 2008
Italy;lost;8;47;-39;1;0;1;0;v Wales;Millennium Stadium;23 Feb 2008
Wales;won;47;8;+39;5;5;4;0;v Italy;Millennium Stadium;23 Feb 2008
Ireland;won;34;13;+21;5;3;1;0;v Scotland;Croke Park;23 Feb 2008
Scotland;lost;13;34;-21;1;1;2;0;v Ireland;Croke Park;23 Feb 2008
England;won;24;13;+11;2;1;3;1;v France;Stade de France;23 Feb 2008
France;lost;13;24;-11;1;1;2;0;v England;Stade de France;23 Feb 2008
Ireland;lost;12;16;-4;0;0;4;0;v Wales;Croke Park;8 Mar 2008
Wales;won;16;12;+4;1;1;3;0;v Ireland;Croke Park;8 Mar 2008
England;lost;9;15;-6;0;0;3;0;v Scotland;Murrayfield;8 Mar 2008
Scotland;won;15;9;+6;0;0;5;0;v England;Murrayfield;8 Mar 2008
France;won;25;13;+12;3;2;2;0;v Italy;Stade de France;9 Mar 2008
Italy;lost;13;25;-12;1;1;2;0;v France;Stade de France;9 Mar 2008
Italy;won;23;20;+3;2;2;2;1;v Scotland;Rome;15 Mar 2008
Scotland;lost;20;23;-3;2;2;2;0;v Italy;Rome;15 Mar 2008
England;won;33;10;+23;3;3;4;0;v Ireland;Twickenham;15 Mar 2008
Ireland;lost;10;33;-23;1;1;1;0;v England;Twickenham;15 Mar 2008
France;lost;12;29;-17;0;0;4;0;v Wales;Millennium Stadium;15 Mar 2008
Wales;won;29;12;+17;2;2;5;0;v France;Millennium Stadium;15 Mar 2008
England;won;36;11;+25;5;4;1;0;v Italy;Twickenham;7 Feb 2009
Italy;lost;11;36;-25;1;0;2;0;v England;Twickenham;7 Feb 2009
France;lost;21;30;-9;2;1;1;2;v Ireland;Croke Park;7 Feb 2009
